method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h8,11,2.0,8.0,0.25,0.5134632028579478,0,0.2727468137124346,2.0,8.0,0.25,30,15,0.006151117384433746,0.4569188633599301,0.12206205578049038,0.370788348635886,0.5331434397052023,0.5922290616553681,0.8480973117092002
fixed_k2_h8,12,2.0,8.0,0.25,0.8401444449532527,1,0.08423061516892875,2.0,8.0,0.25,30,15,0.006749589927494526,0.4496319908373767,0.08518697062653734,0.21896680185843342,0.3887679997100831,0.5307074648243746,0.8775086531457507
fixed_k2_h8,13,2.0,8.0,0.25,0.884787261419157,1,0.06027908216190624,2.0,8.0,0.25,30,15,0.007680362090468407,0.573430540339691,0.09882336842153765,0.2224999429209285,0.41048873937083363,0.5401949264762513,0.9039716214642622
fixed_k2_h8,14,2.0,8.0,0.25,0.9866495337873306,1,0.0068791243650372725,2.0,8.0,0.25,30,15,0.006448615342378616,0.4127743854338565,0.050766918854825704,0.10063272574593327,0.4175484069691158,0.5019249700577337,0.9335434450034454
fixed_k2_h8,15,2.0,8.0,0.25,0.9678284732751933,1,0.016622466075566677,2.0,8.0,0.25,30,15,0.005911529995501041,0.4956716496010248,0.06293226442626429,0.1298257425950671,0.5030752336238531,0.5377914992822129,0.9412213151266521
fixed_k2_h8,16,2.0,8.0,0.25,0.9739904341073597,1,0.013426612433943278,2.0,8.0,0.25,30,15,0.006224328652024269,0.5384644372263206,0.08054757953332109,0.21236919105751517,0.52961164940207,0.5262939937720401,0.9295038738299894
fixed_k2_h8,17,2.0,8.0,0.25,0.5944593551238804,0,0.22341775627051852,2.0,8.0,0.25,30,15,0.005802310071885586,0.34447405920035534,0.03865810841666174,0.07707944545382037,0.44194731380757446,0.34312384611034674,nan
fixed_k2_h8,18,2.0,8.0,0.25,0.9881698337183664,1,0.006094420252229691,2.0,8.0,0.25,30,15,0.007421449758112431,0.47680466966247054,0.08297277620265135,0.20505679648149247,0.4947851527091096,0.36594278057539986,0.9219677816093182
fixed_k2_h8,19,2.0,8.0,0.25,0.901881346370259,1,0.051199857775330815,2.0,8.0,0.25,30,15,0.007232309319078922,0.6127922074111548,0.09641060064184899,0.2476786712257855,0.4651111134513113,0.488600784193723,0.9183239530569256
fixed_k4_h1,0,4.0,1.0,4.0,0.4516406999312661,0,0.3119098436842684,4.0,1.0,4.0,480,120,0.007079527713358402,0.43367538581136894,0.23342265965488646,0.7126736859237381,0.36632504532242394,0.35955875668291126,nan
